"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"3889",3,125,3,125,1000,"extinction"
"3890",3,92,5,92,1000,"extinction"
"3891",3,133,6,133,1000,"extinction"
"3892",3,74,62,141,5087,"reached_max"
"3893",3,56,25,161,5058,"reached_max"
"3894",3,289,7,1578,5334,"reached_max"
"3895",3,448,6,448,1000,"extinction"
"3896",3,134,4,134,1000,"extinction"
"3897",3,74,5,74,1000,"extinction"
"3898",3,65,7,620,5141,"reached_max"
"3899",3,248,6,248,1000,"extinction"
"3900",3,1682,6,1682,1000,"extinction"
"3901",3,269,4,269,1000,"extinction"
"3902",3,39,75,147,5238,"reached_max"
"3903",3,193,6,193,1000,"extinction"
"3904",3,72,26,169,5066,"reached_max"
"3905",3,259,5,259,1000,"extinction"
"3906",3,259,6,259,1000,"extinction"
"3907",3,162,7,697,5285,"reached_max"
"3908",3,25,143,89,5042,"reached_max"
"3909",3,88,6,88,1000,"extinction"
"3910",3,55,70,126,5305,"reached_max"
"3911",3,57,6,57,1000,"extinction"
"3912",3,33,128,101,5249,"reached_max"
"3913",3,832,6,832,1000,"extinction"
"3914",3,871,5,871,1000,"extinction"
"3915",3,765,4,765,1000,"extinction"
"3916",3,431,6,431,1000,"extinction"
"3917",3,287,6,287,1000,"extinction"
"3918",3,369,9,737,5366,"reached_max"
"3919",3,143,5,143,1000,"extinction"
"3920",3,300,5,300,1000,"extinction"
"3921",3,430,9,989,5322,"reached_max"
"3922",3,39,47,108,5281,"reached_max"
"3923",3,284,5,284,1000,"extinction"
"3924",3,40,44,217,5300,"reached_max"
"3925",3,179,8,986,5262,"reached_max"
"3926",3,634,6,634,1000,"extinction"
"3927",3,53,31,117,5351,"reached_max"
"3928",3,68,23,173,5236,"reached_max"
"3929",3,855,6,855,1000,"extinction"
"3930",3,130,2,130,1000,"extinction"
"3931",3,46,65,130,5222,"reached_max"
"3932",3,37,33,185,5120,"reached_max"
"3933",3,37,106,114,5243,"reached_max"
"3934",3,110,8,614,5130,"reached_max"
"3935",3,41,31,181,5256,"reached_max"
"3936",3,260,5,260,1000,"extinction"
"3937",3,43,55,149,5070,"reached_max"
"3938",3,44,64,142,5007,"reached_max"
"3939",3,316,5,316,1000,"extinction"
"3940",3,1751,3,1751,1000,"extinction"
"3941",3,87,35,177,5194,"reached_max"
"3942",3,111,9,920,5280,"reached_max"
"3943",3,2795,5,2795,1000,"extinction"
"3944",3,830,5,830,1000,"extinction"
"3945",3,1768,3,1768,1000,"extinction"
"3946",3,210,4,210,1000,"extinction"
"3947",3,267,5,267,1000,"extinction"
"3948",3,434,7,728,5102,"reached_max"
"3949",3,849,6,849,1000,"extinction"
"3950",3,30,148,125,5240,"reached_max"
"3951",3,76,5,76,1000,"extinction"
"3952",3,399,6,399,1000,"extinction"
"3953",3,493,8,733,5362,"reached_max"
"3954",3,75,51,158,5411,"reached_max"
"3955",3,630,4,630,1000,"extinction"
"3956",3,33,63,113,5325,"reached_max"
"3957",3,127,6,127,1000,"extinction"
"3958",3,84,17,371,5276,"reached_max"
"3959",3,154,6,154,1000,"extinction"
"3960",3,470,6,470,1000,"extinction"
"3961",3,623,6,623,1000,"extinction"
"3962",3,338,8,521,5046,"reached_max"
"3963",3,152,5,152,1000,"extinction"
"3964",3,211,5,211,1000,"extinction"
"3965",3,55,35,124,5210,"reached_max"
"3966",3,34,115,95,5257,"reached_max"
"3967",3,685,6,685,1000,"extinction"
"3968",3,882,6,882,1000,"extinction"
"3969",3,74,53,161,5080,"reached_max"
"3970",3,374,3,374,1000,"extinction"
"3971",3,812,6,812,1000,"extinction"
"3972",3,77,6,77,1000,"extinction"
"3973",3,290,6,290,1000,"extinction"
"3974",3,148,12,251,5262,"reached_max"
"3975",3,61,26,151,5388,"reached_max"
"3976",3,99,6,99,1000,"extinction"
"3977",3,137,9,389,5060,"reached_max"
"3978",3,105,7,238,5028,"reached_max"
"3979",3,213,6,213,1000,"extinction"
"3980",3,110,5,110,1000,"extinction"
"3981",3,210,6,210,1000,"extinction"
"3982",3,566,6,566,1000,"extinction"
"3983",3,83,7,375,5337,"reached_max"
"3984",3,338,7,547,5417,"reached_max"
"3985",3,225,5,225,1000,"extinction"
"3986",3,393,8,573,5057,"reached_max"
"3987",3,550,4,550,1000,"extinction"
"3988",3,116,6,116,1000,"extinction"
"3989",3,43,55,125,5220,"reached_max"
"3990",3,51,41,134,5377,"reached_max"
"3991",3,60,67,172,5045,"reached_max"
"3992",3,304,5,304,1000,"extinction"
"3993",3,51,34,183,5073,"reached_max"
"3994",3,34,75,126,5224,"reached_max"
"3995",3,248,3,248,1000,"extinction"
"3996",3,341,6,341,1000,"extinction"
"3997",3,527,5,527,1000,"extinction"
"3998",3,1122,5,1122,1000,"extinction"
"3999",3,310,5,310,1000,"extinction"
"4000",3,203,5,203,1000,"extinction"
"4001",4,86,29,202,5490,"reached_max"
"4002",4,96,10,1144,5323,"reached_max"
"4003",4,319,9,792,5380,"reached_max"
"4004",4,35,79,125,5223,"reached_max"
"4005",4,110,12,504,5362,"reached_max"
"4006",4,830,5,830,1000,"extinction"
"4007",4,209,10,594,5020,"reached_max"
"4008",4,376,11,622,5315,"reached_max"
"4009",4,520,7,520,1000,"extinction"
"4010",4,519,5,519,1000,"extinction"
"4011",4,145,4,145,1000,"extinction"
"4012",4,5425,8,5425,1000,"extinction"
"4013",4,675,10,2913,5131,"reached_max"
"4014",4,826,7,826,1000,"extinction"
"4015",4,52,17,263,5191,"reached_max"
"4016",4,592,13,863,5453,"reached_max"
"4017",4,573,8,573,1000,"extinction"
"4018",4,267,10,2102,5095,"reached_max"
"4019",4,171,8,171,1000,"extinction"
